plotID,avg,std,ske,kur,p05,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p99,d0,d1,d2,d3,d4,cov,dns
361,10.05,4.8,-0.14,1.83,2.32,3.06,4,5.04,5.89,6.7,7.61,8.63,9.66,10.68,11.5,12.13,12.73,13.5,14.07,14.74,15.43,16.17,17.19,18.43,9.2,15.1,20,10.3,0,60.9,54.6
362,9.94,3.95,-0.34,2.3,2.54,3.79,5.28,6.46,7.31,8.05,8.63,9.16,9.68,10.3,10.86,11.39,11.93,12.45,13.07,13.65,14.26,14.9,15.69,16.81,7.5,23.2,29.7,6.4,0,73.6,66.9
363,8.91,5.28,0.36,2,1.78,2.3,2.84,3.54,4.25,5.09,5.96,6.62,7.26,7.98,8.77,9.74,11.36,12.59,13.46,14.3,15.23,16.36,17.95,20.31,19.1,27,19.6,12.8,1.2,83.7,79.6
364,10.32,7.15,0.65,2.08,1.89,2.47,3.11,3.79,4.4,5.02,5.67,6.44,7.22,8.11,9.12,9.96,11.17,13.83,16.5,18.82,19.82,21.97,23.46,25.22,12.7,16.2,6.4,7,6.9,52.5,50.1
365,9.29,7.54,0.49,1.51,1.53,1.8,2.07,2.38,2.71,3.09,3.44,3.9,4.41,5.08,5.96,9.13,14.26,16.33,17.71,18.56,19.58,20.47,21.23,22.36,25.6,7.8,4.4,14.6,9.1,63.7,61.5
366,12.23,6.38,-0.7,1.87,1.43,1.64,2.11,3.25,5.07,9.6,11.96,13.11,14.33,14.91,15.64,16.17,16.76,17.23,17.55,17.9,18.19,18.5,18.81,19.16,2.2,1.2,4.2,10.3,0,18.5,18
367,10.98,11.42,0.57,1.41,1.36,1.43,1.51,1.58,1.67,1.75,1.85,1.99,2.2,2.62,4.55,6.46,20.65,24.86,25.81,26.4,26.75,27.13,27.6,28.17,7,3.5,0.2,0.2,2.6,27.5,26.9
368,11.17,1.74,-1.57,9.53,8.91,9.51,9.86,10.13,10.37,10.56,10.73,10.91,11.07,11.23,11.41,11.57,11.75,11.92,12.13,12.37,12.69,13.15,13.79,14.59,1.7,14.7,78.3,0.1,0,98.3,94.8
369,11.78,2.63,-2.75,10.35,3.69,10.51,11.07,11.37,11.6,11.8,11.96,12.11,12.24,12.37,12.49,12.64,12.78,12.93,13.09,13.25,13.44,13.65,13.99,14.55,3.2,1.7,81.4,0.2,0,95.3,86.5
37,11.99,10.31,0.1,1.13,1.35,1.42,1.49,1.59,1.69,1.82,1.99,2.3,2.59,8.19,18.41,19.92,21.03,21.89,22.56,23.09,23.71,24.52,25.34,26.71,2.3,0.3,0.1,1.5,5.5,11.5,11
370,11.58,1.77,-1.16,6.33,8.47,9.5,10.02,10.41,10.71,10.95,11.16,11.36,11.57,11.77,11.95,12.13,12.33,12.52,12.74,12.97,13.23,13.55,13.99,14.73,0.5,13.4,81,0.7,0,98.7,95.6
371,11.84,8.6,-0.01,1.25,1.52,1.72,1.92,2.12,2.34,2.59,3.1,6.62,9.4,11.65,15.06,18.6,19.27,19.9,20.46,21.19,21.72,22.27,22.9,23.61,12.8,5.1,5.2,9.8,17.8,54.7,50.7
372,10.8,7.44,-0.14,1.32,1.42,1.57,1.71,1.88,2.06,2.36,3.28,7.01,11.58,13.61,14.66,15.4,15.98,16.66,17.47,18.32,19.15,19.82,20.44,21.38,8.4,2.5,8.6,19.3,4.9,47.7,43.7
373,11.98,6.92,-0.15,1.68,1.52,1.91,2.45,3.62,5.32,6.95,8.56,10.36,11.81,13.05,13.98,14.99,15.93,17.31,18.28,18.92,19.61,20.65,21.94,23.32,6.8,7.6,10.8,13.5,7,50.4,45.6
374,6.29,7.53,2.54,8.12,1.49,1.78,2.04,2.37,2.62,2.87,3.14,3.43,3.62,3.82,4.07,4.41,4.75,5.18,5.71,6.47,7.31,18.27,30.01,31.74,8.7,3.5,0,0.2,0.2,13.9,13.8
375,14.51,10.79,-0.03,1.12,1.61,2.23,2.73,3.09,3.41,3.78,4.2,4.82,5.88,17.01,22.6,23.45,23.82,24.52,25.39,26.03,26.58,26.98,27.29,27.62,4.4,0.8,0.1,0.4,2.8,12.2,12
377,13.5,2.04,-0.92,7.4,10.42,11.23,11.7,12.05,12.39,12.68,12.9,13.12,13.34,13.57,13.81,14.04,14.27,14.51,14.78,15.06,15.37,15.82,16.54,17.88,0.4,2.7,69.1,19.2,0.1,96.8,91.6
378,14.44,9.13,0.2,1.56,2.14,2.94,3.74,4.78,6.08,7.56,9,10.42,11.56,12.55,13.73,15.44,18.76,23.36,24.92,25.79,26.49,27.13,27.66,28.33,14.6,15.3,17.5,6.2,8.1,87.1,83
